Scene,Config,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Default,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Default,PosDeg_Emerg,AvgDelay,0.0121163758473543,0,0.0144414257859141,0,0.00232504993855984,19.1893183890259,0.00232504993855984,0.00232504993855984,1,p = 1,1,p = 1,n.s.,n.s.,1,0,Meaningful,1,p = 1,n.s.
10014,Default,PosDeg_Emerg,AvgTxCost,3.2,0,2.98545454545455,0,-0.214545454545455,-6.70454545454547,-0.214545454545455,-0.214545454545455,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,SeeDelta,1,p = 1,n.s.
10014,Default,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,PosDeg_Emerg,TimelyRate,0.836363636363636,0,0.836363636363636,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,PosDeg_Emerg,LossRate,0.163636363636364,0,0.163636363636364,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,PosDeg_Emerg,AvgDelay,0.0129467646146626,0,0.0143117424928827,0,0.00136497787822016,10.5430037453086,0.00136497787822016,0.00136497787822016,1,p = 1,1,p = 1,n.s.,n.s.,1,0,Meaningful,1,p = 1,n.s.
10014,ForestGeometry,PosDeg_Emerg,AvgTxCost,3.75281818181818,0,3.125,0,-0.627818181818181,-16.7292459000509,-0.627818181818181,-0.627818181818181,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,SeeDelta,1,p = 1,n.s.
10014,ForestGeometry,PosDeg_Emerg,EmgTimely,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,PosDeg_Emerg,TimelyRate,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,PosDeg_Emerg,LossRate,0,0,0,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Default,PosDeg_Emerg,AvgDelay,0.0119750142105576,0,0.0119750142105576,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Sub-ms,1,p = 1,n.s.
10006,Default,PosDeg_Emerg,AvgTxCost,2.69181818181818,0,2.55,0,-0.141818181818182,-5.26849037487336,-0.141818181818182,-0.141818181818182,1,p = 1,1,p = 1,n.s.,n.s.,-1,0,SeeDelta,1,p = 1,n.s.
10006,Default,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,ForestGeometry,PosDeg_Emerg,TimelyRate,0.9,0,0.9,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
