Scene,Config,Stage,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,PosDeg_Emerg,TimelyRate,0.988727272727273,0.00928548723725688,0.999090909090909,0.0033110516322031,0.0103636363636363,1.03636363636362,0.00907145719804129,0.0116558155292314,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,1.29418641005318,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,PosDeg_Emerg,LossRate,0.0112727272727273,0.00928548723725687,0.000909090909090906,0.0033110516322031,-0.0103636363636363,-1.03636363636363,-0.0116558155292314,-0.00907145719804129,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-1.29418641005318,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,PosDeg_Emerg,AvgDelay,0.0120856479198073,0.000165200536202103,0.0135320770868126,0.000548470531594212,0.0014464291670053,11.9681557546843,0.00136263978404541,0.00153021854996519,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,2.78557965492929,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,PosDeg_Emerg,AvgTxCost,2.03,4.48597845338221e-16,3.32400727272727,0.178894393033986,1.29400727272727,63.7442006269593,1.26514010787756,1.32287443757699,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,7.2333584679842,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,PosDeg_Emerg,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,PosDeg_Emerg,TimelyRate,0.811272727272727,0.0134414015926604,0.830909090909091,0.00936506824795839,0.0196363636363636,1.96363636363636,0.0176403284218671,0.0216323988508601,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,1.58745078663875,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,PosDeg_Emerg,LossRate,0.188545454545455,0.0137208268540854,0.168181818181818,0.00922900675555315,-0.0203636363636363,-2.03636363636363,-0.0224500351664342,-0.0182772375608384,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-1.574945071233,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,PosDeg_Emerg,AvgDelay,0.0124958600183345,0.000361597168567041,0.0131609818326016,0.000595363971922539,0.000665121814267123,5.3227373969557,0.000584180971601726,0.00074606265693252,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,0.968979591836735,1.32599190774756,Sub-ms,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,PosDeg_Emerg,AvgTxCost,2.14545454545454,8.97195690676443e-16,3.64658,0.261848039867514,1.50112545454545,69.9677118644069,1.45887253423735,1.54337837485356,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,5.73281150130042,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,PosDeg_Emerg,EmgTimely,0.0266666666666667,0.0617213399848368,0.02,0.0547101204432193,-0.00666666666666667,-0.666666666666666,-0.0142734517546665,0.000940118421333185,0.317310527664727,p = 0.3173,0.317310527664727,p = 0.3173,n.s.,n.s.,-0.5,-0.14142135623731,Below1pp,1,p = 1,n.s.
